faculty_id,slot_id
Q3_12,D1-S10
Q3_12,D1-S11
Q3_12,D1-S12
Q3_12,D1-S13
Q3_12,D1-S14
Q3_12,D1-S15
Q3_12,D1-S16
Q3_12,D1-S2
Q3_12,D1-S3
Q3_12,D1-S4
Q3_12,D1-S5
Q3_12,D1-S6
Q3_12,D1-S7
Q3_12,D1-S8
Q3_12,D1-S9
Q3_12,D2-S1
Q3_12,D2-S10
Q3_12,D2-S11
Q3_12,D2-S12
Q3_12,D2-S13
Q3_12,D2-S14
Q3_12,D2-S15
Q3_12,D2-S16
Q3_12,D2-S2
Q3_12,D2-S3
Q3_12,D2-S4
Q3_12,D2-S5
Q3_12,D2-S6
Q3_12,D2-S7
Q3_12,D2-S8
Q3_12,D2-S9
Q3_13,D1-S1
Q3_13,D1-S10
Q3_13,D1-S11
Q3_13,D1-S12
Q3_13,D1-S13
Q3_13,D1-S14
Q3_13,D1-S15
Q3_13,D1-S16
Q3_13,D1-S2
Q3_13,D1-S3
Q3_13,D1-S4
Q3_13,D1-S5
Q3_13,D1-S6
Q3_13,D1-S7
Q3_13,D1-S8
Q3_13,D1-S9
Q3_13,D2-S1
Q3_13,D2-S10
Q3_13,D2-S11
Q3_13,D2-S12
Q3_13,D2-S13
Q3_13,D2-S14
Q3_13,D2-S15
Q3_13,D2-S16
Q3_13,D2-S2
Q3_13,D2-S3
Q3_13,D2-S4
Q3_13,D2-S5
Q3_13,D2-S6
Q3_13,D2-S7
Q3_13,D2-S8
Q3_13,D2-S9
Q3_14,D1-S1
Q3_14,D1-S10
Q3_14,D1-S11
Q3_14,D1-S12
Q3_14,D1-S13
Q3_14,D1-S14
Q3_14,D1-S15
Q3_14,D1-S16
Q3_14,D1-S2
Q3_14,D1-S3
Q3_14,D1-S4
Q3_14,D1-S5
Q3_14,D1-S6
Q3_14,D1-S7
Q3_14,D1-S8
Q3_14,D1-S9
Q3_14,D2-S1
Q3_14,D2-S10
Q3_14,D2-S11
Q3_14,D2-S12
Q3_14,D2-S13
Q3_14,D2-S14
Q3_14,D2-S15
Q3_14,D2-S16
Q3_14,D2-S2
Q3_14,D2-S3
Q3_14,D2-S4
Q3_14,D2-S5
Q3_14,D2-S6
Q3_14,D2-S7
Q3_14,D2-S8
Q3_14,D2-S9
Q3_15,D1-S1
Q3_15,D1-S10
Q3_15,D1-S11
Q3_15,D1-S12
Q3_15,D1-S13
Q3_15,D1-S14
Q3_15,D1-S15
Q3_15,D1-S16
Q3_15,D1-S2
Q3_15,D1-S3
Q3_15,D1-S4
Q3_15,D1-S5
Q3_15,D1-S6
Q3_15,D1-S7
Q3_15,D1-S8
Q3_15,D1-S9
Q3_15,D2-S1
Q3_15,D2-S10
Q3_15,D2-S11
Q3_15,D2-S12
Q3_15,D2-S13
Q3_15,D2-S14
Q3_15,D2-S15
Q3_15,D2-S16
Q3_15,D2-S2
Q3_15,D2-S3
Q3_15,D2-S4
Q3_15,D2-S5
Q3_15,D2-S6
Q3_15,D2-S7
Q3_15,D2-S8
Q3_15,D2-S9
Q3_16,D1-S1
Q3_16,D1-S10
Q3_16,D1-S11
Q3_16,D1-S12
Q3_16,D1-S13
Q3_16,D1-S14
Q3_16,D1-S15
Q3_16,D1-S16
Q3_16,D1-S2
Q3_16,D1-S3
Q3_16,D1-S4
Q3_16,D1-S5
Q3_16,D1-S6
Q3_16,D1-S7
Q3_16,D1-S8
Q3_16,D1-S9
Q3_16,D2-S1
Q3_16,D2-S10
Q3_16,D2-S11
Q3_16,D2-S12
Q3_16,D2-S13
Q3_16,D2-S14
Q3_16,D2-S15
Q3_16,D2-S16
Q3_16,D2-S2
Q3_16,D2-S3
Q3_16,D2-S4
Q3_16,D2-S5
Q3_16,D2-S6
Q3_16,D2-S7
Q3_16,D2-S8
Q3_16,D2-S9
Q3_17,D1-S1
Q3_17,D1-S10
Q3_17,D1-S11
Q3_17,D1-S12
Q3_17,D1-S13
Q3_17,D1-S14
Q3_17,D1-S15
Q3_17,D1-S16
Q3_17,D1-S2
Q3_17,D1-S3
Q3_17,D1-S4
Q3_17,D1-S5
Q3_17,D1-S6
Q3_17,D1-S7
Q3_17,D1-S8
Q3_17,D1-S9
Q3_17,D2-S1
Q3_17,D2-S10
Q3_17,D2-S11
Q3_17,D2-S12
Q3_17,D2-S13
Q3_17,D2-S14
Q3_17,D2-S15
Q3_17,D2-S16
Q3_17,D2-S2
Q3_17,D2-S3
Q3_17,D2-S4
Q3_17,D2-S5
Q3_17,D2-S6
Q3_17,D2-S7
Q3_17,D2-S8
Q3_17,D2-S9
Q3_18,D1-S1
Q3_18,D1-S10
Q3_18,D1-S11
Q3_18,D1-S12
Q3_18,D1-S13
Q3_18,D1-S14
Q3_18,D1-S15
Q3_18,D1-S16
Q3_18,D1-S2
Q3_18,D1-S3
Q3_18,D1-S4
Q3_18,D1-S5
Q3_18,D1-S6
Q3_18,D1-S7
Q3_18,D1-S8
Q3_18,D1-S9
Q3_18,D2-S1
Q3_18,D2-S10
Q3_18,D2-S11
Q3_18,D2-S12
Q3_18,D2-S13
Q3_18,D2-S14
Q3_18,D2-S15
Q3_18,D2-S16
Q3_18,D2-S2
Q3_18,D2-S3
Q3_18,D2-S4
Q3_18,D2-S5
Q3_18,D2-S6
Q3_18,D2-S7
Q3_18,D2-S8
Q3_18,D2-S9
Q3_19,D1-S1
Q3_19,D1-S10
Q3_19,D1-S11
Q3_19,D1-S12
Q3_19,D1-S13
Q3_19,D1-S14
Q3_19,D1-S15
Q3_19,D1-S16
Q3_19,D1-S2
Q3_19,D1-S3
Q3_19,D1-S4
Q3_19,D1-S5
Q3_19,D1-S6
Q3_19,D1-S7
Q3_19,D1-S8
Q3_19,D1-S9
Q3_19,D2-S1
Q3_19,D2-S10
Q3_19,D2-S11
Q3_19,D2-S12
Q3_19,D2-S13
Q3_19,D2-S14
Q3_19,D2-S15
Q3_19,D2-S16
Q3_19,D2-S2
Q3_19,D2-S3
Q3_19,D2-S4
Q3_19,D2-S5
Q3_19,D2-S6
Q3_19,D2-S7
Q3_19,D2-S8
Q3_19,D2-S9
Q3_20,D1-S1
Q3_20,D1-S10
Q3_20,D1-S11
Q3_20,D1-S12
Q3_20,D1-S13
Q3_20,D1-S14
Q3_20,D1-S15
Q3_20,D1-S16
Q3_20,D1-S2
Q3_20,D1-S3
Q3_20,D1-S4
Q3_20,D1-S5
Q3_20,D1-S6
Q3_20,D1-S7
Q3_20,D1-S8
Q3_20,D1-S9
Q3_20,D2-S1
Q3_20,D2-S10
Q3_20,D2-S11
Q3_20,D2-S12
Q3_20,D2-S13
Q3_20,D2-S14
Q3_20,D2-S15
Q3_20,D2-S16
Q3_20,D2-S2
Q3_20,D2-S3
Q3_20,D2-S4
Q3_20,D2-S5
Q3_20,D2-S6
Q3_20,D2-S7
Q3_20,D2-S8
Q3_20,D2-S9
Q3_21,D1-S1
Q3_21,D1-S10
Q3_21,D1-S11
Q3_21,D1-S12
Q3_21,D1-S13
Q3_21,D1-S14
Q3_21,D1-S15
Q3_21,D1-S16
Q3_21,D1-S2
Q3_21,D1-S3
Q3_21,D1-S4
Q3_21,D1-S5
Q3_21,D1-S6
Q3_21,D1-S7
Q3_21,D1-S8
Q3_21,D1-S9
Q3_21,D2-S1
Q3_21,D2-S10
Q3_21,D2-S11
Q3_21,D2-S12
Q3_21,D2-S13
Q3_21,D2-S14
Q3_21,D2-S15
Q3_21,D2-S16
Q3_21,D2-S2
Q3_21,D2-S3
Q3_21,D2-S4
Q3_21,D2-S5
Q3_21,D2-S6
Q3_21,D2-S7
Q3_21,D2-S8
Q3_21,D2-S9
Q3_22,D1-S1
Q3_22,D1-S10
Q3_22,D1-S11
Q3_22,D1-S12
Q3_22,D1-S13
Q3_22,D1-S14
Q3_22,D1-S15
Q3_22,D1-S16
Q3_22,D1-S2
Q3_22,D1-S3
Q3_22,D1-S4
Q3_22,D1-S5
Q3_22,D1-S6
Q3_22,D1-S7
Q3_22,D1-S8
Q3_22,D1-S9
Q3_22,D2-S1
Q3_22,D2-S10
Q3_22,D2-S11
Q3_22,D2-S12
Q3_22,D2-S13
Q3_22,D2-S14
Q3_22,D2-S15
Q3_22,D2-S16
Q3_22,D2-S2
Q3_22,D2-S3
Q3_22,D2-S4
Q3_22,D2-S5
Q3_22,D2-S6
Q3_22,D2-S7
Q3_22,D2-S8
Q3_22,D2-S9
Q3_23,D1-S1
Q3_23,D1-S10
Q3_23,D1-S11
Q3_23,D1-S12
Q3_23,D1-S13
Q3_23,D1-S14
Q3_23,D1-S15
Q3_23,D1-S16
Q3_23,D1-S2
Q3_23,D1-S3
Q3_23,D1-S4
Q3_23,D1-S5
Q3_23,D1-S6
Q3_23,D1-S7
Q3_23,D1-S8
Q3_23,D1-S9
Q3_23,D2-S1
Q3_23,D2-S10
Q3_23,D2-S11
Q3_23,D2-S12
Q3_23,D2-S13
Q3_23,D2-S14
Q3_23,D2-S15
Q3_23,D2-S16
Q3_23,D2-S2
Q3_23,D2-S3
Q3_23,D2-S4
Q3_23,D2-S5
Q3_23,D2-S6
Q3_23,D2-S7
Q3_23,D2-S8
Q3_23,D2-S9
